 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Mississippi River Pool 2,Multiple,bighead carp,2012,2014,19000599
Mississippi River Pool 2,Multiple,bighead carp,2012,2014,19000501
Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995,1990,19000501
Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995,1990,19000502
Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995,1990,19000503
Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995,1990,19000504
Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995,1990,19000505
Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995,1990,19000599
Mississippi River Pool 2,Multiple,flowering rush,2015,2015,19000502
Mississippi River Pool 2,Multiple,flowering rush,2015,2015,19000503
Mississippi River Pool 2,Multiple,flowering rush,2015,2015,19000504
Mississippi River Pool 2,Multiple,flowering rush,2015,2015,19000505
Mississippi River Pool 2,Multiple,flowering rush,2015,2015,19000599
Mississippi River Pool 2,Multiple,flowering rush,2015,2015,19000501
Mississippi River Pool 2,Multiple,grass carp,2015,2013,19000501
Mississippi River Pool 2,Multiple,grass carp,2015,2013,19000502
Mississippi River Pool 2,Multiple,grass carp,2015,2013,19000503
Mississippi River Pool 2,Multiple,grass carp,2015,2013,19000504
Mississippi River Pool 2,Multiple,grass carp,2015,2013,19000505
Mississippi River Pool 2,Multiple,grass carp,2015,2013,19000599
Mississippi River Pool 2,Multiple,silver carp,2015,2014,19000502
Mississippi River Pool 2,Multiple,silver carp,2015,2014,19000503
Mississippi River Pool 2,Multiple,silver carp,2015,2014,19000504
Mississippi River Pool 2,Multiple,silver carp,2015,2014,19000505
Mississippi River Pool 2,Multiple,silver carp,2015,2014,19000599
Mississippi River Pool 2,Multiple,silver carp,2015,2014,19000501
Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,19000501
Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,19000502
Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,19000503
Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,19000504
Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,19000505
Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,19000599
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001702
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001703
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001704
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001705
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001706
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001707
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001799
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001799
Mississippi River Pool 3,Multiple,bighead carp,2012,connected to other Mississippi River pools,25001701
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001701
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001702
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001703
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001704
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001705
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001706
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001707
Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995,1990,25001799
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001799
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001702
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001703
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001704
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001705
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001706
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001707
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001799
Mississippi River Pool 3,Multiple,grass carp,2015,connected to other Mississippi River pools,25001701
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001701
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001702
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001703
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001704
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001705
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001706
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001707
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001799
Mississippi River Pool 3,Multiple,silver carp,2012,connected to other Mississippi River pools,25001799
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001799
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001702
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001703
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001704
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001705
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001706
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001707
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001799
Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,25001701
Mississippi River Pool 4,Multiple,bighead carp,2012,2012,79000501
Mississippi River Pool 4,Multiple,bighead carp,2012,2012,79000502
Mississippi River Pool 4,Multiple,bighead carp,2012,2012,79000599
Mississippi River Pool 4,Multiple,bighead carp,2012,2012,79000599
Mississippi River Pool 4,Multiple,bighead carp,2012,2012,79000599
Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995,1990,79000502
Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995,1990,79000599
Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995,1990,79000599
Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995,1990,79000599
Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995,1990,79000501
Mississippi River Pool 4,Multiple,grass carp,2015,2015,79000501
Mississippi River Pool 4,Multiple,grass carp,2015,2015,79000502
Mississippi River Pool 4,Multiple,grass carp,2015,2015,79000599
Mississippi River Pool 4,Multiple,grass carp,2015,2015,79000599
Mississippi River Pool 4,Multiple,grass carp,2015,2015,79000599
Mississippi River Pool 4,Multiple,silver carp,2012,connected to other Mississippi River pools,79000502
Mississippi River Pool 4,Multiple,silver carp,2012,connected to other Mississippi River pools,79000599
Mississippi River Pool 4,Multiple,silver carp,2012,connected to other Mississippi River pools,79000599
Mississippi River Pool 4,Multiple,silver carp,2012,connected to other Mississippi River pools,79000599
Mississippi River Pool 4,Multiple,silver carp,2012,connected to other Mississippi River pools,79000501
Mississippi River Pool 4 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000501
Mississippi River Pool 4 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000502
Mississippi River Pool 4 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000599
Mississippi River Pool 4 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000599
Mississippi River Pool 4 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000599
Mississippi River Pool 5,Multiple,bighead carp,2012,connected to other Mississippi River pools,79000102
Mississippi River Pool 5,Multiple,bighead carp,2012,connected to other Mississippi River pools,79000103
Mississippi River Pool 5,Multiple,bighead carp,2012,connected to other Mississippi River pools,79000104
Mississippi River Pool 5,Multiple,bighead carp,2012,connected to other Mississippi River pools,79000199
Mississippi River Pool 5,Multiple,bighead carp,2012,connected to other Mississippi River pools,79000199
Mississippi River Pool 5,Multiple,bighead carp,2012,connected to other Mississippi River pools,79000101
Mississippi River Pool 5,Multiple,Eurasian watermilfoil,1995,1990,79000101
Mississippi River Pool 5,Multiple,Eurasian watermilfoil,1995,1990,79000199
Mississippi River Pool 5,Multiple,Eurasian watermilfoil,1995,1990,79000102
Mississippi River Pool 5,Multiple,Eurasian watermilfoil,1995,1990,79000103
Mississippi River Pool 5,Multiple,Eurasian watermilfoil,1995,1990,79000104
Mississippi River Pool 5,Multiple,Eurasian watermilfoil,1995,1990,79000199
Mississippi River Pool 5,Multiple,grass carp,2015,2009,79000102
Mississippi River Pool 5,Multiple,grass carp,2015,2009,79000103
Mississippi River Pool 5,Multiple,grass carp,2015,2009,79000104
Mississippi River Pool 5,Multiple,grass carp,2015,2009,79000199
Mississippi River Pool 5,Multiple,grass carp,2015,2009,79000199
Mississippi River Pool 5,Multiple,grass carp,2015,2009,79000101
Mississippi River Pool 5,Multiple,silver carp,2012,connected to other Mississippi River pools,79000101
Mississippi River Pool 5,Multiple,silver carp,2012,connected to other Mississippi River pools,79000199
Mississippi River Pool 5,Multiple,silver carp,2012,connected to other Mississippi River pools,79000102
Mississippi River Pool 5,Multiple,silver carp,2012,connected to other Mississippi River pools,79000103
Mississippi River Pool 5,Multiple,silver carp,2012,connected to other Mississippi River pools,79000104
Mississippi River Pool 5,Multiple,silver carp,2012,connected to other Mississippi River pools,79000199
Mississippi River Pool 5 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000102
Mississippi River Pool 5 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000103
Mississippi River Pool 5 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000104
Mississippi River Pool 5 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000199
Mississippi River Pool 5 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000199
Mississippi River Pool 5 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,79000101
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001301
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001302
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001303
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001304
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001305
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001305
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001306
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001307
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001399
Mississippi River Pool 5A,Multiple,bighead carp,2012,2009,85001399
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001302
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001303
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001304
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001305
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001305
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001306
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001307
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001399
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001399
Mississippi River Pool 5A,Multiple,Eurasian watermilfoil,1995,1990,85001301
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001301
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001302
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001303
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001304
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001305
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001305
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001306
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001307
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001399
Mississippi River Pool 5A,Multiple,grass carp,2015,2009,85001399
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001302
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001303
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001304
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001305
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001305
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001306
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001307
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001399
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001399
Mississippi River Pool 5A,Multiple,silver carp,2012,2013,85001301
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001301
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001302
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001303
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001304
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001305
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001305
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001306
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001307
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001399
Mississippi River Pool 5A including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85001399
Mississippi River Pool 6,Multiple,bighead carp,2012,2012,85000202
Mississippi River Pool 6,Multiple,bighead carp,2012,2012,85000203
Mississippi River Pool 6,Multiple,bighead carp,2012,2012,85000204
Mississippi River Pool 6,Multiple,bighead carp,2012,2012,85000299
Mississippi River Pool 6,Multiple,bighead carp,2012,2012,85000201
Mississippi River Pool 6,Multiple,Eurasian watermilfoil,1995,1990,85000201
Mississippi River Pool 6,Multiple,Eurasian watermilfoil,1995,1990,85000299
Mississippi River Pool 6,Multiple,Eurasian watermilfoil,1995,1990,85000202
Mississippi River Pool 6,Multiple,Eurasian watermilfoil,1995,1990,85000203
Mississippi River Pool 6,Multiple,Eurasian watermilfoil,1995,1990,85000204
Mississippi River Pool 6,Multiple,grass carp,2015,2009,85000202
Mississippi River Pool 6,Multiple,grass carp,2015,2009,85000203
Mississippi River Pool 6,Multiple,grass carp,2015,2009,85000204
Mississippi River Pool 6,Multiple,grass carp,2015,2009,85000299
Mississippi River Pool 6,Multiple,grass carp,2015,2009,85000201
Mississippi River Pool 6,Multiple,silver carp,2012,2012,85000201
Mississippi River Pool 6,Multiple,silver carp,2012,2012,85000299
Mississippi River Pool 6,Multiple,silver carp,2012,2012,85000202
Mississippi River Pool 6,Multiple,silver carp,2012,2012,85000203
Mississippi River Pool 6,Multiple,silver carp,2012,2012,85000204
Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85000202
Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85000203
Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85000204
Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85000299
Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85000201
Mississippi River Pool 7,Multiple,bighead carp,2012,connected to other Mississippi River pools,85000100
Mississippi River Pool 7,Multiple,bighead carp,2012,connected to other Mississippi River pools,85000100
Mississippi River Pool 7,Multiple,Eurasian watermilfoil,1995,1990,85000100
Mississippi River Pool 7,Multiple,Eurasian watermilfoil,1995,1990,85000100
Mississippi River Pool 7,Multiple,faucet snail,2013,,85000100
Mississippi River Pool 7,Multiple,faucet snail,2013,,85000100
Mississippi River Pool 7,Multiple,grass carp,2015,connected to other Mississippi River pools,85000100
Mississippi River Pool 7,Multiple,grass carp,2015,connected to other Mississippi River pools,85000100
Mississippi River Pool 7,Multiple,silver carp,2012,2008,85000100
Mississippi River Pool 7,Multiple,silver carp,2012,2008,85000100
Mississippi River Pool 7 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85000100
Mississippi River Pool 7 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,85000100
Mississippi River Pool 8,Multiple,bighead carp,2012,2009,28000501
Mississippi River Pool 8,Multiple,bighead carp,2012,2009,28000599
Mississippi River Pool 8,Multiple,bighead carp,2012,2009,28000599
Mississippi River Pool 8,Multiple,bighead carp,2012,2009,28000502
Mississippi River Pool 8,Multiple,bighead carp,2012,2009,28000503
Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995,1990,28000502
Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995,1990,28000503
Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995,1990,28000599
Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995,1990,28000599
Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995,1990,28000501
Mississippi River Pool 8,Multiple,faucet snail,2013,,28000501
Mississippi River Pool 8,Multiple,faucet snail,2013,,28000599
Mississippi River Pool 8,Multiple,faucet snail,2013,,28000599
Mississippi River Pool 8,Multiple,faucet snail,2013,,28000502
Mississippi River Pool 8,Multiple,faucet snail,2013,,28000503
Mississippi River Pool 8,Multiple,grass carp,2015,2008,28000502
Mississippi River Pool 8,Multiple,grass carp,2015,2008,28000503
Mississippi River Pool 8,Multiple,grass carp,2015,2008,28000599
Mississippi River Pool 8,Multiple,grass carp,2015,2008,28000599
Mississippi River Pool 8,Multiple,grass carp,2015,2008,28000501
Mississippi River Pool 8,Multiple,silver carp,2012,2008,28000501
Mississippi River Pool 8,Multiple,silver carp,2012,2008,28000599
Mississippi River Pool 8,Multiple,silver carp,2012,2008,28000599
Mississippi River Pool 8,Multiple,silver carp,2012,2008,28000502
Mississippi River Pool 8,Multiple,silver carp,2012,2008,28000503
Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000502
Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000503
Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000599
Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000599
Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000501
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000101
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000102
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000103
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000104
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000105
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000106
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000107
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000108
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000199
Mississippi River Pool 9,Multiple,bighead carp,2012,2009,28000199
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000102
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000103
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000104
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000105
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000106
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000107
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000108
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000199
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000199
Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995,1990,28000101
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000101
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000102
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000103
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000104
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000105
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000106
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000107
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000108
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000199
Mississippi River Pool 9,Multiple,faucet snail,2013,,28000199
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000102
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000103
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000104
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000105
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000106
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000107
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000108
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000199
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000199
Mississippi River Pool 9,Multiple,grass carp,2015,connected to other Mississippi River pools,28000101
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000101
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000102
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000103
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000104
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000105
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000106
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000107
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000108
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000199
Mississippi River Pool 9,Multiple,silver carp,2012,2011,28000199
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000102
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000103
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000104
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000105
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000106
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000107
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000108
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000199
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,28000199
Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,2007,1992,28000101
Mitchell,Hennepin,Eurasian watermilfoil,2004,2002,27007000
Mitchell,Sherburne,Eurasian watermilfoil,2008,2007,71008100
Mitchell,Sherburne,zebra mussel,2020,2020,71008100
Molly Stark,Otter Tail,zebra mussel,2018,2018,56030300
Moose,Beltrami,starry stonewort,2016,2016,4001100
Moose,Wright,zebra mussel,2021,Connected to West Sylvia (86-279),86027100
Moses,Douglas,zebra mussel,2020,Connected to Aaron (21-0242),21024500
Mound,Todd,zebra mussel,2018,2018,77000700
Mud,Hennepin,Eurasian watermilfoil,2020,2020,27018600
Mud,Washington,Eurasian watermilfoil,2007,2006,82016800
Mud,Otter Tail,zebra mussel,2020,connected to East Loon (56-0523),56022200
Mud,St. Louis,zebra mussel,2009,connected to Pike (69-0490),69051200
Mud,Wright,zebra mussel,2019,connected to Upper Maple (86-0134-01),86013402
Murphy,Scott,Eurasian watermilfoil,2020,2020,70001000
Muskrat,Becker,flowering rush,2007,,3003600
Muskrat,Becker,zebra mussel,2017,connected to Detroit (03-381),3036000
Namakan,St. Louis,spiny waterflea,2007,2006,69069300
Nelson,Becker,zebra mussel,2019,connected to Upper Cormorant (03-0588),3059500
Nest,Kandiyohi,zebra mussel,2017,2017,34015400
Newton,Lake,spiny waterflea,2014,connected to Fall (38-0811),38078400
Niccum?s Pond (located in the NW 1/4 of the SW 1/4 of S10 T117N R24W),Hennepin,Eurasian watermilfoil,1995,1991,
Nisswa,Crow Wing,zebra mussel,2010,connected to Gull (11-0305),18039900
Nokomis,Hennepin,Eurasian watermilfoil,1995,1995,27001900
Nokomis,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27001900
Normandale,Hennepin,Eurasian watermilfoil,2019,2018,27104501
North Center,Chisago,Eurasian watermilfoil,2008,2008,13003201
North Fowl,Cook,spiny waterflea,2010,2010,16003600
North Lindstrom,Chisago,Eurasian watermilfoil,2006,2005,13003500
North Long,Crow Wing,zebra mussel,2014,2014,18037200
North Oscar,Douglas,Eurasian watermilfoil,2013,2012,21025700
North Pomme de Terre,Stevens,zebra mussel,2018,connected - zebra mussels confirmed in Pomme de Terre River between Middle and North Pomme de Terre in 2018,75006100
North Star,Itasca,zebra mussel,2017,2017,31065300
North Ten Mile,Otter Tail,zebra mussel,2017,Navigable waterway from downstream Ten Mile infestation,56060400
North Twin,Itasca,Eurasian watermilfoil,2000,2000,31019000
North Twin,Wright,Eurasian watermilfoil,2009,2009,86012300
North Twin,Itasca,flowering rush,2007,2007,31019000
North Twin,Mahnomen,zebra mussel,2022,2022,44002300
North Union ,Douglas,zebra mussel,2011,connected to Brophy,21009500
Norway,Kandiyohi,Eurasian watermilfoil,2002,2001,34025100
Norway,Kandiyohi,zebra mussel,2018,2018,34025100
O?Dowd,Scott,Eurasian watermilfoil,2002,2001,70009500
Oak,Carver,Eurasian watermilfoil,2020,2020,10009300
O'Brien,Dakota,Eurasian watermilfoil,2016,2016,19007200
Ogechie,Mille Lacs,zebra mussel,2007,2012,48001400
Olson,Washington,Eurasian watermilfoil,2009,connected to DeMontreville (82-0101),82010300
Onamia,Mille Lacs,zebra mussel,2007,connected water,48000900
Orchard,Dakota,Eurasian watermilfoil,2017,2017,19003100
Orono,Sherburne,Eurasian watermilfoil,2020,2020,71001300
Orwell Reservoir,Otter Tail,zebra mussel,2013,2012,56094500
Osakis,Todd and Douglas,zebra mussel,2016,2016,77021500
Oscar ,Douglas,Eurasian watermilfoil,1995,1992,21025700
Oscar,Douglas,zebra mussel,2019,2019,21025700
Ossawinnamakee,Crow Wing,Eurasian watermilfoil,2004,2002,18035200
Ossawinnamakee,Crow Wing,zebra mussel,2004,2003,18035200
Otter,Anoka,Eurasian watermilfoil,1995,1989,2000300
