 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Bryant,Hennepin,brittleleaf naiad,2020,2020,27006700
Bryant,Hennepin,Eurasian watermilfoil,1995,1991,27006700
Bryant,Hennepin,zebra mussel,2015,2015,27006700
Buchanan,Otter Tail,zebra mussel,2022,2022,56020900
Buck,Becker,flowering rush,2009,2008,3047300
Buck,Becker,zebra mussel,2012,connected to Pelican (56-0786) and Pelican River,3047300
Buck,Beltrami,zebra mussel,2014,2016,4004200
Bucks Mill Pond,Becker,zebra mussel,2014,connected to Melissa (03-0475),3124900
Buffalo,Wright,Eurasian watermilfoil,1999,1999,86009000
Buffalo,Wright,zebra mussel,2022,2022,86009000
Burandt,Carver,Eurasian watermilfoil,2004,2003,10008400
Burandt,Carver,zebra mussel,2017,2017,10008400
Burgen,Douglas,zebra mussel,2017,2017,21004900
Burntside,St. Louis,spiny waterflea,2010,2010,69011800
Burntside River between Burntside and Shagawa,St. Louis,spiny waterflea,2010,connected to Burntside (69-0118),
Bush,Hennepin,Eurasian watermilfoil,1995,1990,27004700
Byllesby,Dakota,flowering rush,2016,2016,19000600
Calhoun,Hennepin,Eurasian watermilfoil,1995,1989,27003100
Calhoun,Kandiyohi,Eurasian watermilfoil,2010,2010,34006200
Calhoun,Hennepin,zebra mussel,2018,2018,27003100
Calhoun,Kandiyohi,zebra mussel,2014,2016,34006200
Camp,Wright,Eurasian watermilfoil,2013,2012,86022100
Camp Galilee,Washington,Eurasian watermilfoil,2007,2006,82050200
Canisteo Pit,Itasca,zebra mussel,2022,2022,31132504
Cannon,Rice,flowering rush,2007,1972,66000800
Cannon River from Wells Lower Sakatah to the confluence  with the Straight River,Multiple (Goodhue and Rice),flowering rush,2007,1977,
Caribou (in the Boundary Waters Canoe Area just west of Pine),Cook,spiny waterflea,2007,,16014100
Carlos,Douglas,Eurasian watermilfoil,2012,connected to Le Homme Dieu (21-0056),21005700
Carlos,Douglas,zebra mussel,2009,2009,21005700
Carnelian,Stearns,starry stonewort,2020,2020,73003800
