WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested,Lat,Long
Lake of the Woods,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Lake of the Woods,Lake of the Woods,zebra mussel,2019,-94.9,48.88
Lakewood Cemetery,Hennepin,Eurasian watermilfoil,2007,-93.47,45.02
Langdon,Hennepin,Eurasian watermilfoil,2019,-93.47,45.02
Langton,Ramsey,Eurasian watermilfoil,2008,-93.11,45.01
Latoka,Douglas,zebra mussel,2014,-95.45,45.93
Le Homme Dieu,Douglas,Eurasian watermilfoil,2012,-95.45,45.93
Le Homme Dieu,Douglas,zebra mussel,2009,-95.45,45.93
Leech,Cass,Eurasian watermilfoil,2005,-94.29,46.88
Leech,Cass,starry stonewort,2021,-94.29,46.88
Leech,Cass,zebra mussel,2016,-94.29,46.88
Leech Lake River between Mud Lake and Mississippi River,Cass,faucet snail,2010,-94.29,46.88
Leek,Otter Tail,zebra mussel,2021,-95.71,46.41
Leif,Becker,zebra mussel,2021,-95.68,46.94
Leven,Pope,zebra mussel,2021,-95.44,45.6
Libbs,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Libbs,Hennepin,zebra mussel,2012,-93.47,45.02
Lida (North and South),Otter Tail,zebra mussel,2014,-95.71,46.41
Lida (North and South),Otter Tail,zebra mussel,2014,-95.71,46.41
Limestone,Wright,zebra mussel,2022,-93.89,45.2
Linn,Chisago,Eurasian watermilfoil,2022,-92.89,45.51
Linwood,Anoka,Eurasian watermilfoil,2014,-93.27,45.23
Little,Chisago,Eurasian watermilfoil,2022,-92.89,45.51
Little Birch,Todd,Eurasian watermilfoil,2004,-94.9,46.07
Little Birch,Todd,zebra mussel,2016,-94.9,46.07
Little Chippewa,Douglas,zebra mussel,2017,-95.45,45.93
Little Comfort,Chisago,Eurasian watermilfoil,2021,-92.89,45.51
Little Comfort,Chisago,zebra mussel,2017,-92.89,45.51
Little Cut Foot,Itasca,faucet snail,2009,-93.73,47.46
Little Cut Foot,Itasca,zebra mussel,2013,-93.73,47.46
Little Elk,Sherburne,Eurasian watermilfoil,2004,-93.83,45.41
Little Fork River from 100 feet upstream of Highway 11 downstream to the Rainy River,Koochiching,spiny waterflea,2007,-93.76,48.28
Little Hanging Horn,Carlton,Eurasian watermilfoil,2016,-92.68,46.59
Little Horseshoe,Chisago,Eurasian watermilfoil,2015,-92.89,45.51
Little Jay Gould,Itasca,zebra mussel,2019,-93.73,47.46
Little John ,Cook,spiny waterflea,2009,-90.27,47.73
Little Long,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Little Mary,Wright,Eurasian watermilfoil,2007,-93.89,45.2
Little McDonald,Otter Tail,zebra mussel,2013,-95.71,46.41
Little Mud,Meeker,Eurasian watermilfoil,2009,-94.51,45.11
Little Osakis,Todd,zebra mussel,2016,-94.9,46.07
Little Pelican,Otter Tail,flowering rush,2021,-95.71,46.41
Little Pelican,Otter Tail,zebra mussel,2009,-95.71,46.41
Little Pine,Aitkin,zebra mussel,2020,-93.43,46.66
Little Pine,Crow Wing,zebra mussel,2014,-94.09,46.48
Little Pine,Otter Tail,zebra mussel,2020,-95.71,46.41
Little Rabbit,Crow Wing,zebra mussel,2006,-94.09,46.48
Little Red Sand,Cass,zebra mussel,2020,-94.29,46.88
Little Rice,Beltrami,zebra mussel,2014,-95.01,47.98
Little Rock,Benton,zebra mussel,2006,-94.06,45.69
Little Rock Lake Channel,Benton,zebra mussel,2006,-94.06,45.69
Little Rose,Otter Tail,zebra mussel,2021,-95.71,46.41
Little Sand,Itasca,zebra mussel,2013,-93.73,47.46
Little Sauk,Todd,zebra mussel,2017,-94.9,46.07
Little Sioux River and its tributaries,Jackson,bighead carp,2012,-95.16,43.67
Little Sioux River and its tributaries,Jackson,silver carp,2012,-95.16,43.67
Little Spirit,Jackson,bighead carp,2012,-95.16,43.67
Little Spirit,Jackson,silver carp,2012,-95.16,43.67
Little Vermilion,St. Louis,spiny waterflea,2007,-92.38,47.5
Little Waverly,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Little Waverly,Wright,zebra mussel,2021,-93.89,45.2
Little Winnibigoshish,Itasca,faucet snail,2010,-93.73,47.46
Little Winnibigoshish,Itasca,zebra mussel,2013,-93.73,47.46
Lizzie,Otter Tail,zebra mussel,2009,-95.71,46.41
Lizzie,Otter Tail,zebra mussel,2009,-95.71,46.41
Lobster,Douglas,zebra mussel,2014,-95.45,45.93
Locke,Anoka,Eurasian watermilfoil,2021,-93.27,45.23
Locke,Wright,Eurasian watermilfoil,2011,-93.89,45.2
Locke,Wright,zebra mussel,2021,-93.89,45.2
Loeb,Ramsey,Eurasian watermilfoil,2004,-93.11,45.01
Lomond,Clearwater,zebra mussel,2019,-95.38,47.59
Long,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Long,Isanti,Eurasian watermilfoil,2007,-93.26,45.58
Long,Ramsey,Eurasian watermilfoil,2015,-93.11,45.01
Long,Washington,Eurasian watermilfoil,2006,-92.88,45.02
Long,Washington,Eurasian watermilfoil,2009,-92.88,45.02
Long,Washington,Eurasian watermilfoil,2008,-92.88,45.02
Long,Washington,Eurasian watermilfoil,2016,-92.88,45.02
Long,Hubbard,faucet snail,2017,-94.92,47.11
Long,Becker,zebra mussel,2020,-95.68,46.94
Long,Hubbard,zebra mussel,2020,-94.92,47.11
Long,Kandiyohi,zebra mussel,2022,-95.01,45.15
Long,Otter Tail,zebra mussel,2018,-95.71,46.41
Long,Otter Tail,zebra mussel,2018,-95.71,46.41
Long,Ramsey,zebra mussel,2019,-93.11,45.01
Long,Stearns,zebra mussel,2021,-94.59,45.53
Long (Tame Fish),Crow Wing,Eurasian watermilfoil,2010,-94.09,46.48
Long / Tame Fish,Crow Wing,zebra mussel,2020,-94.09,46.48
Long Lake,Douglas,zebra mussel,2014,-95.45,45.93
Loon,Jackson,bighead carp,2012,-95.16,43.67
Loon,Jackson,silver carp,2012,-95.16,43.67
Loon,St. Louis,spiny waterflea,2009,-92.38,47.5
Loon (Island-Loon),Crow Wing,zebra mussel,2014,-94.09,46.48
Loon Creek between Loon and Spirit,Jackson,bighead carp,2012,-95.16,43.67
Loon Creek between Loon and Spirit,Jackson,silver carp,2012,-95.16,43.67
Lottie (Taylor),Douglas,zebra mussel,2011,-95.45,45.93
Lotus,Carver,brittleleaf naiad,2017,-93.77,44.81
Lotus,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Lotus,Hennepin,zebra mussel,2019,-93.47,45.02
Louisa,Wright,Eurasian watermilfoil,2022,-93.89,45.2
Louise,Douglas,zebra mussel,2014,-95.45,45.93
Louise Mine,Crow Wing,Eurasian watermilfoil,2009,-94.09,46.48
Louise Mine,Crow Wing,zebra mussel,2020,-94.09,46.48
Love,Crow Wing,zebra mussel,2010,-94.09,46.48
Lower Cullen,Crow Wing,zebra mussel,2016,-94.09,46.48
Lower Hay,Crow Wing,zebra mussel,2014,-94.09,46.48
Lower Mission,Crow Wing,Eurasian watermilfoil,2008,-94.09,46.48
Lower Orono,Sherburne,zebra mussel,2020,-93.83,45.41
Lower Prior,Scott,Eurasian watermilfoil,1995,-93.6,44.68
Lower Prior,Scott,zebra mussel,2009,-93.6,44.68
Lower Spunk,Stearns,Eurasian watermilfoil,2014,-94.59,45.53
Lower Twin,Wadena,faucet snail,2009,-94.95,46.59
Lower Watab,Stearns,zebra mussel,2014,-94.59,45.53
Lucy,Carver,Eurasian watermilfoil,2007,-93.77,44.81
Lundsten,Carver,Eurasian watermilfoil,2019,-93.77,44.81
Lura,Blue Earth,Eurasian watermilfoil,2005,-94.07,44.06
Madison,Blue Earth,Eurasian watermilfoil,2010,-94.07,44.06
Magda,Hennepin,Eurasian watermilfoil,2015,-93.47,45.02
Mahnomen,Crow Wing,zebra mussel,2021,-94.09,46.48
Mahnomen Mine #1,Crow Wing,zebra mussel,2017,-94.09,46.48
Mahnomen Mine #2,Crow Wing,zebra mussel,2017,-94.09,46.48
Mahnomen Mine #3,Crow Wing,zebra mussel,2017,-94.09,46.48
