WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested,Lat,Long
Mandall,Chisago,Eurasian watermilfoil,2021,-92.89,45.51
Mangan Mine Pit,Crow Wing,zebra mussel,2016,-94.09,46.48
Mantrap,Hubbard,Eurasian watermilfoil,2020,-94.92,47.11
Manuella,Meeker,Eurasian watermilfoil,2006,-94.51,45.11
Maple,Wright,Eurasian watermilfoil,2007,-93.89,45.2
Maple,Wright,Eurasian watermilfoil,2007,-93.89,45.2
Maple,Douglas,zebra mussel,2014,-95.45,45.93
Maple (Northeast Bay),Wright,zebra mussel,2019,-93.89,45.2
Maple (Upper Maple),Wright,flowering rush,2015,-93.89,45.2
Maple (Upper Maple),Wright,flowering rush,2015,-93.89,45.2
Margaret,Cass,zebra mussel,2010,-94.29,46.88
Marie,Stearns,Eurasian watermilfoil,2017,-94.59,45.53
Marion,Dakota,Eurasian watermilfoil,1998,-93.03,44.7
Marion,Dakota,zebra mussel,2017,-93.03,44.7
Marquette,Beltrami,zebra mussel,2018,-95.01,47.98
Marshan,Anoka,Eurasian watermilfoil,2010,-93.27,45.23
Mary,Crow Wing,Eurasian watermilfoil,2017,-94.09,46.48
Mary,Todd,Eurasian watermilfoil,2018,-94.9,46.07
Mary,Wright,Eurasian watermilfoil,1997,-93.89,45.2
Mary,Douglas,zebra mussel,2014,-95.45,45.93
Maud,Becker,zebra mussel,2016,-95.68,46.94
Mazaska,Rice,Eurasian watermilfoil,2010,-93.28,44.37
McCarron,Ramsey,Eurasian watermilfoil,2000,-93.11,45.01
McCarron,Ramsey,zebra mussel,2019,-93.11,45.01
McColl,Scott,Eurasian watermilfoil,2009,-93.6,44.68
McCormack,St. Louis,Eurasian watermilfoil,2013,-92.38,47.5
McCraney,Mahnomen,faucet snail,2015,-95.81,47.32
McDonough,Dakota,Eurasian watermilfoil,2016,-93.03,44.7
McFarland,Cook,spiny waterflea,2005,-90.27,47.73
McKinney,Itasca,Eurasian watermilfoil,1999,-93.73,47.46
McMahon,Scott,Eurasian watermilfoil,2007,-93.6,44.68
Meadowbrook,Hennepin,zebra mussel,2010,-93.47,45.02
Medicine,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Medicine,Hennepin,starry stonewort,2018,-93.47,45.02
Medicine,Hennepin,zebra mussel,2017,-93.47,45.02
Melissa,Becker,flowering rush,2007,-95.68,46.94
Melissa,Becker,zebra mussel,2014,-95.68,46.94
Melrose,Stearns,zebra mussel,2018,-94.59,45.53
Mesabi Mt. Pit,St. Louis,zebra mussel,2019,-92.38,47.5
Middle,Otter Tail,zebra mussel,2020,-95.71,46.41
Middle Cormorant,Becker,zebra mussel,2019,-95.68,46.94
Middle Jefferson,Le Sueur,Eurasian watermilfoil,2010,-93.78,44.37
Middle Pomme de Terre,Stevens,zebra mussel,2018,-96,45.59
Middle Spunk,Stearns,Eurasian watermilfoil,2014,-94.59,45.53
Mill,Becker,flowering rush,2009,-95.68,46.94
Mill Lake,Douglas,zebra mussel,2014,-95.45,45.93
Mill Pond,Becker,zebra mussel,2014,-95.68,46.94
Mille Lacs,Mille Lacs,Eurasian watermilfoil,1999,-93.62,45.9
Mille Lacs,Mille Lacs,spiny waterflea,2009,-93.62,45.9
Mille Lacs,Mille Lacs,zebra mussel,2006,-93.62,45.9
Miller,Carver,zebra mussel,2018,-93.77,44.81
Miller,Crow Wing,zebra mussel,2006,-94.09,46.48
Miller Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Miltona,Douglas,zebra mussel,2013,-95.45,45.93
Mina,Douglas,zebra mussel,2014,-95.45,45.93
Mineral,Otter Tail,zebra mussel,2019,-95.71,46.41
Mink,Wright,Eurasian watermilfoil,2004,-93.89,45.2
Mink,Wright,Eurasian watermilfoil,2014,-93.89,45.2
Mink,Wright,zebra mussel,2023,-93.89,45.2
Minnehaha Creek,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Minnehaha Creek,Hennepin,Eurasian watermilfoil,2007,-93.47,45.02
Minnehaha Creek,Hennepin,flowering rush,2009,-93.47,45.02
Minnehaha Creek,Hennepin,flowering rush,2009,-93.47,45.02
Minnehaha Creek between Minnetonka and Nokomis,Hennepin,zebra mussel,2010,-93.47,45.02
