,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
73,Big Marine,Washington,Eurasian watermilfoil,2005
74,Big McDonald,Otter Tail,zebra mussel,2019
75,Big McDonald #2,Otter Tail,zebra mussel,2019
76,Big Pine,Aitkin,zebra mussel,2018
77,Big Pine,Crow Wing,zebra mussel,2014
78,Big Pine,Otter Tail,zebra mussel,2020
79,Big Rice,Beltrami,zebra mussel,2014
80,Big Sandy,Aitkin,flowering rush,2009
81,Big Trout,Crow Wing,zebra mussel,2014
82,Big Watab,Stearns,zebra mussel,2020
83,Birch,Ramsey,Eurasian watermilfoil,2006
84,Birch,Sherburne,Eurasian watermilfoil,2020
85,Birch,Wright,Eurasian watermilfoil,2019
86,Bird's Eye,Itasca,zebra mussel,2013
87,Bishop Creek between North Long and Round (also known as Sugar Bush Creek),Crow Wing,zebra mussel,2015
88,Bishop Creek between Round and Gull,Crow Wing,zebra mussel,2010
89,Black Bear,Crow Wing,zebra mussel,2006
90,Black River the south branch downstream of Highway 11 and the west branch downstream of Highway 147,Koochiching,spiny waterflea,2007
91,Black River the south branch downstream of Highway 11 and the west branch downstream of Highway 147,Koochiching,spiny waterflea,2007
92,Blackduck,Beltrami,faucet snail,2018
93,Blackhawk,Dakota,Eurasian watermilfoil,2017
94,Blacks,Sherburne,zebra mussel,2021
95,Blackwater,Itasca,faucet snail,2016
96,Blackwell,Douglas,zebra mussel,2021
97,Blanche,Otter Tail,zebra mussel,2018
98,Bloody,Murray,zebra mussel,2022
99,Blueberry,Wadena,faucet snail,2018
100,Bolfing,Stearns,zebra mussel,2017
101,Bone,Washington,Eurasian watermilfoil,2007
102,Bone,Washington,zebra mussel,2019
103,Boom,Crow Wing,zebra mussel,2006
104,Bottle,St. Louis,spiny waterflea,2014
105,Bottle River between Bottle Lake and Lac La Croix,St. Louis,spiny waterflea,2014
106,Boulder,Hubbard,faucet snail,2020
107,Bowen,Cass,starry stonewort,2022
108,Bowstring,Itasca,faucet snail,2015
109,Bowstring,Itasca,zebra mussel,2020
110,Bowstring River from Sand downstream to Rice ,Itasca,zebra mussel,2013
111,Breckenridge,Wilkin,zebra mussel,2013
112,Bridge,Dakota,Eurasian watermilfoil,2016
113,Brophy ,Douglas,zebra mussel,2011
114,Brown,Otter Tail,zebra mussel,2019
115,Brownie,Hennepin,Eurasian watermilfoil,1995
116,Bryant,Hennepin,brittleleaf naiad,2020
117,Bryant,Hennepin,Eurasian watermilfoil,1995
118,Bryant,Hennepin,zebra mussel,2015
119,Buchanan,Otter Tail,zebra mussel,2022
120,Buck,Becker,flowering rush,2009
121,Buck,Becker,zebra mussel,2012
122,Buck,Beltrami,zebra mussel,2014
123,Bucks Mill Pond,Becker,zebra mussel,2014
124,Buffalo,Wright,Eurasian watermilfoil,1999
125,Buffalo,Wright,zebra mussel,2022
126,Burandt,Carver,Eurasian watermilfoil,2004
127,Burandt,Carver,zebra mussel,2017
128,Burgen,Douglas,zebra mussel,2017
129,Burntside,St. Louis,spiny waterflea,2010
130,Burntside River between Burntside and Shagawa,St. Louis,spiny waterflea,2010
131,Bush,Hennepin,Eurasian watermilfoil,1995
132,Byllesby,Dakota,flowering rush,2016
133,Calhoun,Hennepin,Eurasian watermilfoil,1995
134,Calhoun,Kandiyohi,Eurasian watermilfoil,2010
135,Calhoun,Hennepin,zebra mussel,2018
136,Calhoun,Kandiyohi,zebra mussel,2014
137,Camp,Wright,Eurasian watermilfoil,2013
138,Camp Galilee,Washington,Eurasian watermilfoil,2007
139,Canisteo Pit,Itasca,zebra mussel,2022
140,Cannon,Rice,flowering rush,2007
141,Cannon River from Wells Lower Sakatah to the confluence  with the Straight River,Multiple (Goodhue and Rice),flowering rush,2007
142,Caribou (in the Boundary Waters Canoe Area just west of Pine),Cook,spiny waterflea,2007
143,Carlos,Douglas,Eurasian watermilfoil,2012
144,Carlos,Douglas,zebra mussel,2009
145,Carnelian,Stearns,starry stonewort,2020
146,Caroline,Wright,Eurasian watermilfoil,2009
147,Carr,Beltrami,zebra mussel,2018
148,Cass,Beltrami,starry stonewort,2016
149,Cass,Beltrami,zebra mussel,2014
150,Cate's,Scott,Eurasian watermilfoil,2007
151,Cedar,Hennepin,Eurasian watermilfoil,1995
152,Cedar,McLeod,Eurasian watermilfoil,2013
153,Cedar,Rice,Eurasian watermilfoil,2001
154,Cedar,Wright,Eurasian watermilfoil,2010
155,Cedar,Aitkin,zebra mussel,2021
156,Cedar,Wright,zebra mussel,2017
157,Cedar Island,Stearns,zebra mussel,2018
158,Cenaiko,Anoka,Eurasian watermilfoil,1995
159,Centerville,Anoka,Eurasian watermilfoil,1999
160,Charley,Douglas,zebra mussel,2014
161,Charley,Ramsey,zebra mussel,2007
162,Charlotte,Wright,Eurasian watermilfoil,2014
163,Chippewa,Douglas,zebra mussel,2017
164,Chisago,Chisago,Eurasian watermilfoil,2010
165,Christmas,Hennepin,Eurasian watermilfoil,1995
166,Christmas,Hennepin,zebra mussel,2014
167,Chub,Carlton,Eurasian watermilfoil,2009
168,Circle,Rice,Eurasian watermilfoil,2011
169,Clamshell,Crow Wing,zebra mussel,2014
170,Clark,Crow Wing,zebra mussel,2017
171,Clear,Jackson,bighead carp,2012
172,Clear,Meeker,Eurasian watermilfoil,2014
173,Clear,Waseca,Eurasian watermilfoil,2006
174,Clear,Washington,Eurasian watermilfoil,2007
175,Clear,Jackson,silver carp,2012
176,Clear,Crow Wing,zebra mussel,2022
177,Clearwater,Crow Wing,Eurasian watermilfoil,2011
178,Clearwater,Wright,Eurasian watermilfoil,1995
179,Clearwater,Multiple (Wright and Stearns),zebra mussel,2015
180,Clearwater River downstream of Clearwater including 500 feet upstream into its tributaries,Wright,Eurasian watermilfoil,1999
181,Clearwater River from Clearwater Lake to the Mississippi River,Multiple (Stearns and Wright),zebra mussel,2015
182,Clinker,Crow Wing,zebra mussel,2022
183,Clitherall,Otter Tail,zebra mussel,2021
184,Cloquet River from Island Lake to the St. Louis River,St. Louis,spiny waterflea,1995
185,Cobblestone,Dakota,Eurasian watermilfoil,2012
186,Colby,Washington,Eurasian watermilfoil,2012
187,Comfort,Chisago,Eurasian watermilfoil,2014
188,Comfort,Chisago,zebra mussel,2017
189,Constance,Wright,Eurasian watermilfoil,2016
